MR3508,,冷却排空完成，关闭泄压阀,,
MR3515,,翻转电机原点_自动,,
MR3605,,翻转电机原点到达,,
MR3608,,闸门电机打开到达,,
MR3609,,闸门电机关闭到达,,
MR3610,,取盘电机闸门位到达,,
MR3611,,取盘电机取盘位到达,,
MR3612,,翻转电机载盘位到达,,
MR3613,,翻转电机石墨位到达,,
MR3614,,倾倒电机回零到达,,
MR3615,,倾倒电机动作到达,,
MR3800,,11#可以翻转到石墨位,,
MR3801,,15#可以翻转到载盘位,,
MR3802,,25#可以倾倒,,
MR3803,,21#翻转前，铜板冷却温度≤40℃,,
MR3804,,石墨工位已放盘冷却,,
MR3815,,Z轴夹子安全中 To HMI,,
MR3900,,Z轴夹子安全确认＿HMI,,
MR3908,,石墨夹子气缸电磁阀原点_初始化,,
MR3909,,石墨夹子气缸电磁阀动点_初始化,,
MR3910,,载盘夹子气缸电磁阀原点_初始化,,
MR3911,,载盘夹子气缸电磁阀动点_初始化,,
MR3912,,Z轴夹子气缸电磁阀原点_初始化,,
MR3913,,Z轴夹子气缸电磁阀动点_初始化,,
MR3914,,倾倒夹子气缸电磁阀原点_初始化,,
MR3915,,倾倒夹子气缸电磁阀动点_初始化,,
MR4000,,设备右门门锁 (屏端)_初始化,,
MR4001,,设备左门门锁 (闸口端)_初始化,,
MR4002,,气罐加压打开电磁阀_初始化,,
MR4004,,粗称电磁铁_初始化,,
MR4005,,冷水机用循环水泵_初始化,,
MR4006,,水冷头用循环水泵_初始化,,
MR4007,,工业相机光源_初始化,,
MR4008,,闸门开_初始化,,
MR4009,,闸门关_初始化,,
MR4010,,取盘电机闸门位_初始化,,
MR4011,,取盘电机取盘位_初始化,,
MR4012,,翻转电机载盘位_初始化,,
MR4013,,翻转电机石墨位_初始化,,
MR4014,,倾倒电机回零_初始化,,
MR4015,,倾倒电机动作_初始化,,
MR4100,,测金仪电源_初始化,,
MR4101,,熔金炉电源_初始化,,
MR4102,,冷水机电源_初始化,,
MR4103,,向熔炉吹气冷却电磁阀_初始化,,
MR4104,,空气压缩机电源_初始化,,
MR4105,,熔金炉启动_初始化,,
MR4106,,真空箱抽真空电磁阀_初始化,,
MR4107,,真空箱泄气电磁阀_初始化,,
MR4115,,翻转电机零点位_初始化,,
MR4202,,翻转电机去载盘位标志_初始化,,
MR4205,,倾倒电机去动作位标志TO翻转电机,,
MR4304,,翻转电机载盘位To报警,,
MR4305,,翻转电机石墨位To报警,,
MR4314,,翻转电机启动To报警,,
MR4315,,翻转电机方向To报警,,
MR4500,,轴1CW_HMI,,
MR4501,,轴1CCW_HMI,,
MR4502,,轴1高低速切换_HMI,,
MR4600,,轴2CW_HMI,,
MR4601,,轴2CCW_HMI,,
MR4602,,轴2高低速切换_HMI,,
MR4700,,轴3CW_HMI,,
MR4701,,轴3CCW_HMI,,
MR4702,,轴3高低速切换_HMI,,
MR4800,,轴4CW_HMI,,
MR4801,,轴4CCW_HMI,,
MR4802,,轴4高低速切换_HMI,,
MR4900,,导入主轴默认参数_HMI,,
MR4901,,导入默认坐标_HMI,,
MR4902,,导入设置页面默认参数_HMI,,
MR4904,,坐标存档_HMI,,
MR4906,,存档坐标恢复_HMI,,
MR4908,,存档显示_HMI,,
MR4910,,导入语音默认延时时间_HMI,,
MR4911,,批量清除语音默认延时时间_HMI,,
MR5004,,Z轴去0位置,,
MR5005,,XYZ回原（调试用）,,
MR5006,,Z轴回原_初始化,,
MR5007,,XY回原＿指令24,,
MR5010,,轴 1~4 原点复归动作中,,
MR5011,,轴 1~4 原点复归完成,,
MR5012,,轴 1~4 空闲中,,
MR5013,,轴 1~4 允许定位,,
MR5110,,轴 1 原点复归动作中,,
MR5111,,轴 1 原点复归完成,,
MR5210,,轴 2 原点复归动作中,,
MR5211,,轴 2 原点复归完成,,
MR5310,,轴 3 原点复归动作中,,
MR5311,,轴 3 原点复归完成,,
MR5410,,轴 4 原点复归动作中,,
MR5411,,轴 4 原点复归完成,,
MR5500,,载盘位视教_HMI,,
MR5501,,精称位视教_HMI,,
MR5502,,取盘电机取盘位视教_HMI,,
MR5503,,相机位视教_HMI,,
MR5504,,测金仪视教_HMI,,
MR5505,,摆盖位视教_HMI,,
MR5506,,开盖位视教_HMI,,
MR5507,,石墨位视教_HMI,,
MR5508,,熔炼位视教_HMI,,
MR5509,,K金位视教_HMI,,
MR5510,,纯金位视教_HMI,,
MR5800,,载盘位_到达,,
MR5801,,精称位_到达,,
MR5802,,取盘电机取盘位_到达,,
MR5803,,相机位_到达,,
MR5804,,测金仪_到达,,
MR5805,,摆盖位_到达,,
MR5806,,开盖位_到达,,
MR5807,,石墨位_到达,,
MR5808,,熔炼位_到达,,
MR5809,,K金位_到达,,
MR5810,,纯金位_到达,,
MR5814,,测金位XY移动一步完成,,
MR5900,,Z轴0位置到达,,
MR6000,,1#指令_运行中,,
MR6001,,1#指令_运行完成,,
MR6002,,2#指令_运行中,,
MR6003,,2#指令_运行完成,,
MR6004,,3#指令_运行中,,
MR6005,,3#指令_运行完成,,
MR6006,,4#指令_运行中,,
MR6007,,4#指令_运行完成,,
MR6008,,5#指令_运行中,,
MR6009,,5#指令_运行完成,,
MR6010,,6#指令_运行中,,
MR6011,,6#指令_运行完成,,
MR6012,,7#指令_运行中,,
MR6013,,7#指令_运行完成,,
MR6014,,8#指令_运行中,,
MR6015,,8#指令_运行完成,,
MR6100,,9#指令_运行中,,
MR6101,,9#指令_运行完成,,
MR6102,,10#指令_运行中,,
MR6103,,10#指令_运行完成,,
MR6104,,11#指令_运行中,,
MR6105,,11#指令_运行完成,,
MR6106,,12#指令_运行中,,
MR6107,,12#指令_运行完成,,
MR6108,,13#指令_运行中,,
MR6109,,13#指令_运行完成,,
MR6110,,14#指令_运行中,,
MR6111,,14#指令_运行完成,,
MR6112,,15#指令_运行中,,
MR6113,,15#指令_运行完成,,
MR6114,,16#指令_运行中,,
MR6115,,16#指令_运行完成,,
MR6200,,17#指令_运行中,,
MR6201,,17#指令_运行完成,,
MR6202,,18#指令_运行中,,
MR6203,,18#指令_运行完成,,
MR6204,,19#指令_运行中,,
MR6205,,19#指令_运行完成,,
MR6206,,20#指令_运行中,,
MR6207,,20#指令_运行完成,,
MR6208,,21#指令_运行中,,
MR6209,,21#指令_运行完成,,
MR6210,,22#指令_运行中,,
MR6211,,22#指令_运行完成,,
MR6212,,23#指令_运行中,,
MR6213,,23#指令_运行完成,,
MR6214,,24#指令_运行中,,
MR6215,,24#指令_运行完成,,
MR6300,,25#指令_运行中,,
MR6301,,25#指令_运行完成,,
MR6302,,26#指令_运行中,,
MR6303,,26#指令_运行完成,,
MR6304,,27#指令_运行中,,
MR6305,,27#指令_运行完成,,
MR6306,,28#指令_运行中,,
MR6307,,28#指令_运行完成,,
MR6308,,29#指令_运行中,,
MR6309,,29#指令_运行完成,,
MR6310,,30#指令_运行中,,
MR6311,,30#指令_运行完成,,
MR6312,,31#指令_运行中,,
MR6313,,31#指令_运行完成,,
MR6314,,32#指令_运行中,,
MR6315,,32#指令_运行完成,,
MR6400,,50#指令_运行中,,
MR6401,,50#指令_运行完成,,
MR6402,,51#指令_运行中,,
MR6403,,51#指令_运行完成,,
MR6404,,52#指令_运行中,,
MR6405,,52#指令_运行完成,,
MR6406,,53#指令_运行中,,
MR6407,,53#指令_运行完成,,
MR6408,,54#指令_运行中,,
MR6409,,54#指令_运行完成,,
MR6410,,55#指令_运行中,,
MR6411,,55#指令_运行完成,,
MR6412,,56#指令_运行中,,
MR6413,,56#指令_运行完成,,
MR6414,,57#指令_运行中,,
MR6415,,57#指令_运行完成,,
MR6603,,53#指令模拟写入_HMI,,
MR6605,,55#指令模拟写入_HMI,,
MR6606,,56#指令模拟写入_HMI,,
MR6607,,57#指令模拟写入_HMI,,
MR6704,,11#指令暂停,,
MR6705,,18#指令暂停,,
MR6714,,21#指令暂停,,
MR6900,,去载盘位_自动,,
MR6901,,去精称位_自动,,
MR6902,,去取盘电机取盘位_自动,,
MR6903,,去相机位_自动,,
MR6904,,去测金仪_自动,,
MR6905,,去摆盖位_自动,,
MR6906,,去开盖位_自动,,
MR6907,,去石墨位_自动,,
MR6908,,去熔炼位_自动,,
MR6909,,去K金位_自动,,
MR6910,,去纯金位_自动,,
MR6914,,测金仪XY移动一步_自动,,
MR7000,,去载盘位_初始化,,
MR7001,,去精称位_初始化,,
MR7002,,去取盘电机取盘位_初始化,,
MR7003,,去相机位_初始化,,
MR7004,,去测金仪_初始化,,
MR7005,,去摆盖位_初始化,,
MR7006,,去开盖位_初始化,,
MR7007,,去石墨位_初始化,,
MR7008,,去熔炼位_初始化,,
MR7009,,去K金位_初始化,,
MR7010,,去纯金位_初始化,,
MR8000,,1#指令_运行中_HMI显示,,
MR8001,,1#指令_运行完成_HMI显示,,
MR8002,,2#指令_运行中_HMI显示,,
MR8003,,2#指令_运行完成_HMI显示,,
MR8004,,3#指令_运行中_HMI显示,,
MR8005,,3#指令_运行完成_HMI显示,,
MR8006,,4#指令_运行中_HMI显示,,
MR8007,,4#指令_运行完成_HMI显示,,
MR8008,,5#指令_运行中_HMI显示,,
MR8009,,5#指令_运行完成_HMI显示,,
MR8010,,6#指令_运行中_HMI显示,,
MR8011,,6#指令_运行完成_HMI显示,,
MR8012,,7#指令_运行中_HMI显示,,
MR8013,,7#指令_运行完成_HMI显示,,
MR8014,,8#指令_运行中_HMI显示,,
MR8015,,8#指令_运行完成_HMI显示,,
MR8100,,9#指令_运行中_HMI显示,,
MR8101,,9#指令_运行完成_HMI显示,,
MR8102,,10#指令_运行中_HMI显示,,
MR8103,,10#指令_运行完成_HMI显示,,
MR8104,,11#指令_运行中_HMI显示,,
MR8105,,11#指令_运行完成_HMI显示,,
MR8106,,12#指令_运行中_HMI显示,,
MR8107,,12#指令_运行完成_HMI显示,,
MR8108,,13#指令_运行中_HMI显示,,
MR8109,,13#指令_运行完成_HMI显示,,
MR8110,,14#指令_运行中_HMI显示,,
MR8111,,14#指令_运行完成_HMI显示,,
MR8112,,15#指令_运行中_HMI显示,,
MR8113,,15#指令_运行完成_HMI显示,,
MR8114,,16#指令_运行中_HMI显示,,
MR8115,,16#指令_运行完成_HMI显示,,
MR8200,,17#指令_运行中_HMI显示,,
MR8201,,17#指令_运行完成_HMI显示,,
MR8202,,18#指令_运行中_HMI显示,,
MR8203,,18#指令_运行完成_HMI显示,,
MR8204,,19#指令_运行中_HMI显示,,
MR8205,,19#指令_运行完成_HMI显示,,
MR8206,,20#指令_运行中_HMI显示,,
MR8207,,20#指令_运行完成_HMI显示,,
MR8208,,21#指令_运行中_HMI显示,,
MR8209,,21#指令_运行完成_HMI显示,,
MR8210,,22#指令_运行中_HMI显示,,
MR8211,,22#指令_运行完成_HMI显示,,
MR8212,,23#指令_运行中_HMI显示,,
MR8213,,23#指令_运行完成_HMI显示,,
MR8214,,24#指令_运行中_HMI显示,,
MR8215,,24#指令_运行完成_HMI显示,,
MR8300,,25#指令_运行中_HMI显示,,
MR8301,,25#指令_运行完成_HMI显示,,
MR8302,,26#指令_运行中_HMI显示,,
MR8303,,26#指令_运行完成_HMI显示,,
MR8304,,27#指令_运行中_HMI显示,,
MR8305,,27#指令_运行完成_HMI显示,,
MR8306,,28#指令_运行中_HMI显示,,
MR8307,,28#指令_运行完成_HMI显示,,
MR8308,,29#指令_运行中_HMI显示,,
MR8309,,29#指令_运行完成_HMI显示,,
MR8310,,30#指令_运行中_HMI显示,,
MR8311,,30#指令_运行完成_HMI显示,,
MR8400,,50#指令_运行中_HMI显示,,
MR8401,,50#指令_运行完成_HMI显示,,
MR8402,,51#指令_运行中_HMI显示,,
MR8403,,51#指令_运行完成_HMI显示,,
MR8404,,52#指令_运行中_HMI显示,,
MR8405,,52#指令_运行完成_HMI显示,,
MR8406,,53#指令_运行中_HMI显示,,
MR8407,,53#指令_运行完成_HMI显示,,
MR8408,,54#指令_运行中_HMI显示,,
MR8409,,54#指令_运行完成_HMI显示,,
MR8410,,55#指令_运行中_HMI显示,,
MR8411,,55#指令_运行完成_HMI显示,,
MR8412,,56#指令_运行中_HMI显示,,
MR8413,,56#指令_运行完成_HMI显示,,
MR8414,,57#指令_运行中_HMI显示,,
MR8415,,57#指令_运行完成_HMI显示,,
MR8800,,去载盘位_HMI,,
MR8801,,去精称位_HMI,,
MR8802,,去取盘电机取盘位_HMI,,
MR8803,,去相机位_HMI,,
MR8804,,去测金仪_HMI,,
MR8805,,去摆盖位_HMI,,
MR8806,,去开盖位_HMI,,
MR8807,,去石墨位_HMI,,
MR8808,,去熔炼位_HMI,,
MR8809,,去K金位_HMI,,
MR8810,,去纯金位_HMI,,
MR10000,,语音播报1_自动,,
MR10001,,语音播报2_自动,,
MR10002,,语音播报3_自动,,
MR10003,,语音播报4_自动,,
MR10004,,语音播报5_自动,,
MR10005,,语音播报6_自动,,
MR10006,,语音播报7_自动,,
MR10007,,语音播报8_自动,,
MR10008,,语音播报9_自动,,
MR10009,,语音播报10_自动,,
MR10010,,语音播报11_自动,,
MR10011,,语音播报12_自动,,
MR10012,,语音播报13_自动,,
MR10013,,语音播报14_自动,,
MR10014,,语音播报15_自动,,
MR10015,,语音播报16_自动,,
MR10100,,语音播报17_自动,,
MR10101,,语音播报18_自动,,
MR10102,,语音播报19_自动,,
MR10103,,语音播报20_自动,,
MR10104,,语音播报21_自动,,
MR10105,,语音播报22_自动,,
MR10106,,语音播报23_自动,,
MR10107,,语音播报24_自动,,
MR10108,,语音播报25_自动,,
MR10109,,语音播报26_自动,,
MR10110,,语音播报27_自动,,
MR10111,,语音播报28_自动,,
MR10112,,语音播报29_自动,,
MR10113,,语音播报30_自动,,
MR10114,,语音播报31_自动,,
MR10115,,语音播报32_自动,,
MR10200,,语音播报33_自动,,
MR10201,,语音播报34_自动,,
MR10202,,语音播报35_自动,,
MR10203,,语音播报36_自动,,
MR10204,,语音播报37_自动,,
MR10205,,语音播报38_自动,,
MR10206,,语音播报39_自动,,
MR10207,,语音播报40_自动,,
MR10208,,语音播报41_自动,,
MR10209,,语音播报42_自动,,
MR10210,,语音播报43_自动,,
MR10211,,语音播报44_自动,,
MR10212,,语音播报45_自动,,
MR10213,,语音播报46_自动,,
MR10214,,语音播报47_自动,,
MR10215,,语音播报48_自动,,
MR10300,,语音播报49_自动,,
MR10301,,语音播报50_自动,,
MR10800,,自动抽真空流程启用,,
MR11500,,补气中,,
MR11502,,抽真空中,,
MR11515,,熔炼启动＿15#指令,,
MR11600,,熔炼中,,
MR11601,,冷却排空中,,
MR11602,,开盖中,,
MR11603,,吹气中,,
MR11604,,去石墨位中,,
MR11605,,关盖中,,
MR11606,,点对点－吹气中,,
MR11607,,21#翻转可以同时启动,,
MR11608,,真空箱体温度超过最高温度,,
MR11610,,熔炼完成,,
MR11611,,冷却排空完成,,
MR11612,,开盖完成,,
MR11613,,吹气完成,,
MR11614,,去石墨位完成,,
MR11615,,关盖完成,,
MR11701,,冷却到排空温度 TO 抽真空,,
MR20412,,读取是否关闭读写保护TO PORT2,,
MR20413,,读取关闭读写保护完成FRM PORT2,,
MR20414,,确认已关闭读写保护,,
MR20415,,是否关闭读写保护中,,
MR20500,,读取是否关闭读写保护,,
MR20501,,关闭写保护＿HMI,,
MR20502,,打开写保护＿HMI,,
MR20503,,取消粗称去皮＿HMI,,
MR20504,,粗称去皮＿HMI,,
MR20505,,粗称清零＿HMI,,
MR20506,,砝码校准＿HMI,,
MR20507,,零漂设定_HMI,,
MR20510,,熔炼/不熔炼设定_HMI,,
MR20514,,复位粗称去皮完成_To 自动,,
MR20600,,粗称当前值读取＿自动,,
MR20601,,关闭写保护＿自动,,
MR20602,,打开写保护＿自动,,
MR20603,,取消粗称去皮＿自动,,
MR20604,,粗称去皮＿自动,,
MR20605,,冷水机水温设置_HMI,,
MR20606,,冷水机回差设置_HMI,,
MR20607,,冷水机水温设置中_To HMI,,
MR20608,,冷水机回差设置中_To HMI,,
MR20610,,粗称当前值读取_To 自动,,
MR20611,,关闭写保护完成_To 自动,,
